source,target,anchor,reason
/guides/k1-game-login-not-working/,/login-help/,"Login Help","route article to closest hub"
/login-help/,/guides/k1-game-login-not-working/,"K1 Game Login Not Working: Fast Checks","supporting long-tail guide"
/guides/otp-not-received/,/otp-center/,"OTP Center","route article to closest hub"
/otp-center/,/guides/otp-not-received/,"K1 Game OTP Not Received: Causes and Fixes","supporting long-tail guide"
/guides/password-reset-guide/,/password-reset/,"Password Reset","route article to closest hub"
/password-reset/,/guides/password-reset-guide/,"K1 Game Password Reset Guide","supporting long-tail guide"
/guides/account-locked/,/account-safety/,"Account Safety","route article to closest hub"
/account-safety/,/guides/account-locked/,"K1 Game Account Locked: What to Check","supporting long-tail guide"
/guides/phone-number-format/,/login-help/,"Login Help","route article to closest hub"
/login-help/,/guides/phone-number-format/,"K1 Game Phone Number Format for Login","supporting long-tail guide"
/guides/app-login-vs-web-login/,/otp-center/,"OTP Center","route article to closest hub"
/otp-center/,/guides/app-login-vs-web-login/,"K1 Game App Login vs Web Login","supporting long-tail guide"
/guides/expired-session/,/password-reset/,"Password Reset","route article to closest hub"
/password-reset/,/guides/expired-session/,"K1 Game Session Expired Message Explained","supporting long-tail guide"
/guides/login-on-new-phone/,/account-safety/,"Account Safety","route article to closest hub"
/account-safety/,/guides/login-on-new-phone/,"K1 Game Login on a New Phone","supporting long-tail guide"
/guides/otp-resend-timing/,/login-help/,"Login Help","route article to closest hub"
/login-help/,/guides/otp-resend-timing/,"K1 Game OTP Resend Timing and Retry Limits","supporting long-tail guide"
/guides/safe-login-checklist/,/otp-center/,"OTP Center","route article to closest hub"
/otp-center/,/guides/safe-login-checklist/,"Safe Login Checklist for K1 Game Users","supporting long-tail guide"
/guides/forgot-username/,/password-reset/,"Password Reset","route article to closest hub"
/password-reset/,/guides/forgot-username/,"K1 Game Forgot Username or Account ID","supporting long-tail guide"
/guides/login-error-codes/,/account-safety/,"Account Safety","route article to closest hub"
/account-safety/,/guides/login-error-codes/,"K1 Game Login Error Codes and Meanings","supporting long-tail guide"
